"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","WPA/LI","Clutch","O-Swing%","Contact%","SwStr%","Soft%","Med%","Hard%","FRM","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","WPA","maxEV","HardHit","HardHit%","playerid"
"Kyle Tucker","Astros","58","228","9","33","42","8","7.9%","20.2%",".244",".303",".268",".325",".512",".349","125","91.1","3.2","10.3","-2.5","1.6","0.60","1.11","31.3%","79.5%","10.3%","10.4%","51.8%","37.8%","","62","102","116","91.1","14.9","15","9.1%","1.86","110.9","72","43.9%","18345"
"Dansby Swanson","Braves","60","264","10","49","35","5","8.3%","26.9%",".190",".350",".274",".345",".464",".348","116","89.0","4.2","9.6","2.8","1.9","0.99","1.36","28.5%","70.6%","13.9%","11.4%","49.7%","38.9%","","70","100","115","89.0","14.7","19","11.4%","2.32","109.3","68","40.7%","18314"
"Adam Duvall","Braves","57","209","16","34","33","0","7.2%","25.8%",".295",".240",".237",".301",".532",".348","116","88.1","0.6","4.8","-4.9","0.5","0.70","0.02","35.1%","74.4%","12.5%","20.4%","48.9%","30.7%","","126","98","90","88.1","22.9","19","13.9%","0.72","114.2","55","40.1%","10950"
"Brian Anderson","Marlins","59","229","11","27","38","0","9.6%","28.8%",".210",".323",".255",".345",".465",".348","121","87.2","0.6","6.8","-0.9","1.2","0.65","0.42","32.5%","68.3%","15.5%","14.8%","49.6%","35.6%","","92","100","105","87.2","9.7","13","9.6%","1.01","109.5","51","37.8%","18289"
"Didi Gregorius","Phillies","60","237","10","34","40","3","6.3%","11.8%",".205",".285",".284",".339",".488",".348","116","83.7","0.4","5.3","2.8","1.4","0.63","0.40","37.1%","82.0%","9.5%","23.7%","47.4%","28.9%","","146","95","85","83.7","18.0","7","3.7%","1.10","104.7","51","26.8%","6012"
"Joey Votto","Reds","54","223","11","32","22","0","16.6%","19.3%",".220",".235",".226",".354",".446",".347","114","87.4","-1.7","2.4","-6.6","0.6","0.25","-0.70","19.5%","79.9%","7.3%","10.5%","53.1%","36.4%","","65","107","107","87.4","15.4","13","9.1%","-0.45","113.2","51","35.7%","4314"
"Wilmer Flores","Giants","55","213","12","30","32","1","6.1%","16.9%",".247",".272",".268",".315",".515",".347","121","87.9","-0.2","5.4","-2.8","1.0","0.49","0.85","33.0%","84.3%","7.5%","17.2%","48.5%","34.4%","","106","97","101","87.9","19.0","10","6.1%","1.35","107.8","56","34.4%","5827"
"Jesus Aguilar","Marlins","51","216","8","31","34","0","10.6%","18.5%",".181",".306",".277",".352",".457",".347","121","89.6","-1.6","4.2","-4.2","0.6","0.70","-0.86","36.0%","79.9%","9.5%","14.5%","50.0%","35.5%","","89","100","105","89.6","15.5","10","6.6%","-0.14","109.9","56","36.8%","11342"
"Willy Adames","Rays","54","205","8","29","23","2","9.8%","36.1%",".222",".388",".259",".332",".481",".347","124","88.8","2.0","8.1","1.4","1.5","0.22","-0.46","29.2%","63.9%","16.7%","18.9%","44.1%","36.9%","","113","87","113","88.8","12.5","11","9.9%","-0.25","109.1","44","39.6%","15986"
"Renato Nunez","Orioles","52","216","12","29","31","0","7.9%","29.6%",".236",".317",".256",".324",".492",".347","119","86.3","-1.5","3.5","-5.9","0.3","-0.10","-0.36","42.4%","72.5%","14.3%","23.5%","50.8%","25.8%","","140","100","79","86.3","21.1","16","12.1%","-0.45","110.3","48","36.4%","14503"
"Christian Vazquez","Red Sox","47","189","7","22","23","4","8.5%","22.8%",".173",".341",".283",".344",".457",".346","115","88.4","-2.7","0.8","8.3","1.4","-0.08","0.01","33.8%","79.3%","9.9%","26.2%","43.1%","30.8%","4.7","156","85","95","88.4","14.4","6","4.6%","-0.06","108.8","52","40.0%","9774"
"Christian Yelich","Brewers","58","247","12","39","22","4","18.6%","30.8%",".225",".259",".205",".356",".430",".343","112","94.0","-1.2","2.8","-6.3","0.7","0.48","-1.04","20.3%","68.2%","11.0%","8.1%","50.8%","41.1%","","50","102","121","94.0","7.1","15","12.1%","-0.54","112.0","69","55.6%","11477"
"Pete Alonso","Mets","57","239","16","31","35","1","10.0%","25.5%",".260",".242",".231",".326",".490",".342","119","90.2","-2.0","3.7","-6.3","0.4","0.44","-0.42","33.4%","71.5%","13.1%","16.9%","51.4%","31.8%","","104","103","94","90.2","15.5","19","12.8%","0.01","118.4","60","40.5%","19251"
"Kevin Pillar","- - -","54","223","6","34","26","5","5.8%","18.4%",".173",".335",".288",".336",".462",".341","106","87.1","1.9","3.4","0.7","1.1","0.14","-0.14","41.1%","75.8%","12.5%","16.2%","47.3%","36.5%","","98","94","110","87.1","13.4","9","5.4%","0.00","108.0","61","36.5%","12434"
"Franmil Reyes","Indians","59","241","9","27","34","0","10.0%","28.6%",".175",".355",".275",".344",".450",".341","112","92.4","-1.9","1.6","-6.7","0.6","-0.02","-0.42","31.1%","63.9%","16.6%","14.3%","49.0%","36.7%","","85","97","113","92.4","11.2","19","12.9%","-0.44","114.7","66","44.9%","14566"
"Colin Moran","Pirates","52","200","10","28","23","0","9.5%","26.0%",".225",".291",".247",".325",".472",".340","114","91.9","-2.9","0.5","-4.6","0.5","0.72","-0.86","38.7%","74.9%","12.5%","9.4%","50.4%","40.2%","","58","101","118","91.9","8.3","17","13.4%","-0.15","112.0","60","47.2%","16909"
"Charlie Blackmon","Rockies","59","247","6","31","42","2","7.7%","17.8%",".145",".347",".303",".356",".448",".340","97","86.9","-0.2","-1.2","0.5","0.8","0.17","0.03","33.7%","79.0%","10.5%","14.8%","54.4%","30.8%","","92","109","91","86.9","13.5","9","4.9%","0.21","109.7","54","29.7%","7859"
"J.D. Davis","Mets","56","229","6","26","19","0","13.5%","24.5%",".142",".318",".247",".371",".389",".339","117","90.1","-2.7","2.2","-3.4","0.5","0.11","0.34","26.3%","72.1%","12.5%","16.3%","48.9%","34.8%","","101","98","103","90.1","3.3","12","8.9%","0.43","111.2","61","45.2%","16219"
"Christian Walker","Diamondbacks","57","243","7","35","34","1","7.8%","20.6%",".188",".317",".271",".333",".459",".339","110","90.4","0.8","4.0","-4.5","0.8","0.21","0.62","35.5%","74.5%","13.2%","14.0%","41.5%","44.4%","","87","83","131","90.4","11.5","11","6.4%","0.79","110.4","83","48.5%","13419"
"Yasmani Grandal","White Sox","46","194","8","27","27","0","15.5%","29.9%",".193",".299",".230",".351",".422",".338","117","90.3","-2.4","1.6","7.0","1.7","0.62","-0.59","23.2%","70.8%","9.9%","13.3%","44.8%","41.9%","4.0","80","88","129","90.3","15.6","8","7.6%","0.03","110.5","45","42.9%","11368"
"Raimel Tapia","Rockies","51","206","1","26","17","8","6.8%","18.4%",".082",".392",".321",".369",".402",".338","96","85.3","3.2","2.1","-1.9","0.7","0.28","0.03","32.3%","83.4%","8.3%","18.0%","50.7%","31.3%","","111","102","92","85.3","1.8","3","2.0%","0.31","107.2","45","29.6%","14350"
"Vladimir Guerrero Jr.","Blue Jays","60","243","9","34","33","1","8.2%","15.6%",".199",".282",".262",".329",".462",".338","115","92.5","-0.9","3.5","-6.9","0.3","0.18","0.08","27.4%","76.3%","11.4%","14.2%","47.0%","38.8%","","85","93","119","92.5","4.6","16","8.7%","0.26","116.1","93","50.8%","19611"
"Kyle Seager","Mariners","60","248","9","35","40","5","12.9%","13.3%",".192",".240",".241",".355",".433",".338","118","89.1","1.7","7.2","-0.3","1.5","1.07","0.23","23.9%","79.9%","8.1%","14.8%","46.0%","39.2%","","88","91","120","89.1","17.7","18","10.2%","1.23","108.7","70","39.8%","9785"
"Cody Bellinger","Dodgers","56","243","12","33","30","6","12.3%","17.3%",".216",".245",".239",".333",".455",".337","114","89.3","0.5","4.9","-0.9","1.2","0.32","0.41","29.9%","78.9%","10.0%","16.4%","45.6%","38.0%","","101","91","112","89.3","16.6","16","9.4%","0.70","110.6","71","41.5%","15998"
"Rafael Devers","Red Sox","57","248","11","32","43","0","5.2%","27.0%",".220",".325",".263",".310",".483",".337","109","93.0","0.9","3.7","-4.8","0.5","0.37","1.25","42.3%","70.5%","16.1%","10.9%","47.9%","41.2%","","65","94","127","93.0","10.6","20","12.1%","1.57","116.7","72","43.6%","17350"
"Willson Contreras","Cubs","57","225","7","37","26","1","8.9%","25.3%",".164",".307",".243",".356",".407",".336","109","89.8","-0.8","1.9","4.6","1.6","-0.08","-0.75","34.4%","68.0%","15.3%","16.4%","47.8%","35.8%","1.7","101","96","106","89.8","9.1","14","10.4%","-0.84","114.1","63","47.0%","11609"
"Cesar Hernandez","Indians","58","261","3","35","20","0","9.2%","21.8%",".124",".364",".283",".355",".408",".335","108","89.1","0.4","3.1","4.7","1.9","-0.27","0.42","25.7%","81.8%","7.7%","13.0%","55.9%","31.1%","","77","110","95","89.1","5.6","7","3.9%","0.16","108.2","66","37.1%","10556"
"Jurickson Profar","Padres","56","202","7","28","25","7","7.4%","13.9%",".150",".293",".278",".343",".428",".335","111","87.2","2.7","5.6","0.7","1.3","0.09","0.08","31.5%","81.1%","8.8%","20.0%","51.0%","29.0%","","124","102","86","87.2","11.0","5","3.2%","0.16","107.7","43","27.7%","10815"
"Brandon Crawford","Giants","54","193","8","26","28","1","7.8%","24.4%",".209",".303",".256",".326",".465",".334","112","88.7","-0.5","2.5","0.6","1.0","0.06","-1.03","35.6%","71.4%","15.6%","15.7%","49.6%","34.6%","","97","99","102","88.7","12.4","12","9.4%","-0.89","109.8","50","39.4%","5343"
"Randal Grichuk","Blue Jays","55","231","12","38","35","1","5.6%","21.2%",".208",".299",".273",".312",".481",".334","112","88.9","0.1","3.5","-3.1","0.6","-0.04","0.75","37.3%","78.3%","11.2%","18.9%","46.2%","34.9%","","113","91","107","88.9","12.6","19","11.2%","0.80","110.9","67","39.6%","10243"
"David Peralta","Diamondbacks","54","218","5","19","34","1","6.0%","20.6%",".133",".361",".300",".339",".433",".333","107","89.2","0.0","1.9","1.4","1.1","0.15","0.40","30.6%","79.4%","9.6%","16.9%","49.4%","33.8%","","104","99","99","89.2","6.4","8","5.0%","0.57","113.8","58","36.3%","2136"
"Starling Marte","- - -","61","250","6","36","27","10","4.8%","16.4%",".149",".319",".281",".340",".430",".333","109","87.0","2.1","5.0","0.7","1.3","0.35","0.98","38.0%","76.3%","12.3%","11.7%","58.5%","29.8%","","72","117","88","87.0","6.4","12","6.4%","1.34","110.6","55","29.3%","9241"
"Eddie Rosario","Twins","57","231","13","31","42","3","8.2%","14.7%",".219",".248",".257",".316",".476",".333","110","87.5","-2.0","0.9","-1.5","0.9","0.62","0.01","42.6%","79.2%","10.7%","21.3%","48.3%","30.3%","","127","95","93","87.5","18.1","11","6.2%","0.59","105.0","63","35.4%","12155"
"Jean Segura","Phillies","54","217","7","28","25","2","10.6%","20.7%",".156",".314",".266",".347",".422",".333","107","88.0","-1.1","0.8","3.3","1.0","0.49","-0.46","34.1%","78.1%","10.1%","21.6%","46.6%","31.8%","","134","94","94","88.0","11.6","9","6.1%","0.03","109.4","56","37.8%","5933"
"Eugenio Suarez","Reds","57","231","15","29","38","2","13.0%","29.0%",".268",".214",".202",".312",".470",".332","104","89.1","0.5","1.7","-0.5","1.1","0.57","-0.56","26.9%","70.7%","12.2%","16.7%","49.2%","34.1%","","103","99","100","89.1","17.9","19","14.4%","0.01","111.4","58","43.9%","12552"
