"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","WPA/LI","Clutch","O-Swing%","Contact%","SwStr%","Soft%","Med%","Hard%","FRM","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","WPA","maxEV","HardHit","HardHit%","playerid"
"Juan Soto","Nationals","47","196","13","39","37","6","20.9%","14.3%",".344",".363",".351",".490",".695",".478","200","92.3","-0.5","24.7","-4.9","2.4","2.16","-0.16","21.0%","81.9%","6.5%","15.1%","42.9%","42.1%","","93","86","124","92.3","4.6","22","17.5%","1.98","113.3","65","51.6%","20123"
"Freddie Freeman","Braves","60","262","13","51","53","2","17.2%","14.1%",".299",".366",".341",".462",".640",".456","187","92.4","-0.3","28.8","-1.3","3.4","2.64","0.66","28.2%","81.9%","8.7%","9.6%","47.5%","42.9%","","59","95","126","92.4","17.2","26","14.7%","3.17","109.3","96","54.2%","5361"
"Marcell Ozuna","Braves","60","267","18","38","56","0","14.2%","22.5%",".298",".391",".338",".431",".636",".444","179","93.0","-0.2","26.8","-7.8","2.5","2.75","-0.86","32.5%","70.6%","13.6%","14.8%","39.1%","46.2%","","91","78","136","93.0","16.4","26","15.4%","1.97","115.6","91","53.8%","10324"
"DJ LeMahieu","Yankees","50","216","10","41","27","3","8.3%","9.7%",".226",".370",".364",".421",".590",".429","177","91.3","0.7","21.1","-1.2","2.5","1.82","-0.93","28.9%","89.9%","4.5%","13.1%","51.4%","35.4%","","78","101","109","91.3","2.3","5","2.9%","0.82","109.5","80","45.7%","9874"
"Jose Ramirez","Indians","58","254","17","45","46","10","12.2%","16.9%",".315",".294",".292",".386",".607",".415","163","88.7","1.9","21.5","1.7","3.4","1.58","-0.24","25.9%","85.7%","5.9%","19.8%","46.9%","33.3%","","118","93","102","88.7","23.2","18","10.2%","1.45","114.3","62","35.0%","13510"
"Ronald Acuna Jr.","Braves","46","202","14","46","29","8","18.8%","29.7%",".331",".302",".250",".406",".581",".413","159","92.4","2.2","17.4","2.0","2.4","1.15","-1.01","23.5%","71.3%","11.6%","17.0%","32.0%","51.0%","","105","64","150","92.4","18.6","16","16.0%","0.13","114.8","57","57.0%","18401"
"Trea Turner","Nationals","59","259","12","46","41","12","8.5%","13.9%",".253",".353",".335",".394",".588",".413","157","90.5","2.4","21.4","-0.5","2.7","2.28","-0.81","29.0%","81.2%","8.8%","16.1%","47.2%","36.7%","","99","95","108","90.5","9.3","18","9.0%","1.33","111.2","79","39.7%","16252"
"Dominic Smith","Mets","50","199","10","27","42","0","7.0%","22.6%",".299",".368",".316",".377",".616",".412","165","89.8","0.6","17.0","-3.8","1.8","1.80","-1.34","37.1%","76.1%","12.4%","10.4%","51.9%","37.8%","","64","104","111","89.8","10.8","18","13.3%","0.51","110.7","63","46.7%","15653"
"Nelson Cruz","Twins","53","214","16","33","33","0","11.7%","27.1%",".292",".360",".303",".397",".595",".411","164","91.6","-0.7","16.1","-5.6","2.0","1.16","-1.24","33.8%","68.0%","15.2%","14.2%","47.2%","38.6%","","85","93","119","91.6","9.4","19","15.0%","-0.08","114.4","59","46.5%","2434"
"Jose Abreu","White Sox","60","262","19","43","60","0","6.9%","22.5%",".300",".350",".317",".370",".617",".411","167","92.9","-1.0","20.5","-5.4","2.6","1.73","0.45","36.4%","71.5%","13.8%","13.2%","47.3%","39.6%","","79","93","122","92.9","10.9","26","14.3%","2.01","114.0","97","53.3%","15676"
"Mike Trout","Angels","53","241","17","41","46","1","14.5%","23.2%",".322",".300",".281",".390",".603",".407","164","93.7","1.3","20.3","-2.4","2.6","1.87","-1.12","17.4%","82.4%","6.5%","10.2%","48.3%","41.5%","","61","95","127","93.7","23.1","22","15.0%","0.77","112.9","81","55.1%","10155"
"Mike Yastrzemski","Giants","54","225","10","39","35","2","13.3%","24.4%",".271",".370",".297",".400",".568",".407","160","88.2","0.8","18.0","1.2","2.7","2.45","0.65","23.4%","76.5%","9.1%","19.7%","43.1%","37.2%","","122","86","110","88.2","18.4","15","10.9%","3.10","105.6","58","42.3%","14854"
"Michael Conforto","Mets","54","233","9","40","31","3","10.3%","24.5%",".193",".412",".322",".412",".515",".401","157","88.4","-0.2","16.8","-2.3","2.0","1.64","-0.48","27.7%","76.0%","10.6%","14.5%","49.0%","36.6%","","89","98","108","88.4","11.0","16","11.0%","1.15","114.4","53","36.6%","16376"
"Bryce Harper","Phillies","58","244","13","41","33","8","20.1%","17.6%",".274",".279",".268",".420",".542",".400","151","92.3","-0.6","15.2","-5.1","1.6","1.73","0.00","31.1%","72.6%","12.5%","9.3%","50.7%","40.0%","","58","102","118","92.3","16.7","26","17.3%","1.82","114.7","73","48.7%","11579"
"Wil Myers","Padres","55","218","15","34","40","2","8.3%","25.7%",".318",".331",".288",".353",".606",".400","154","91.0","1.4","16.4","-4.7","1.9","1.09","0.79","25.8%","74.1%","10.8%","11.3%","40.8%","47.9%","","70","82","141","91.0","13.4","21","14.8%","1.73","109.2","65","45.8%","10047"
"Anthony Rendon","Angels","52","232","9","29","31","0","16.4%","13.4%",".212",".302",".286",".418",".497",".395","156","90.1","0.0","16.0","3.7","2.7","1.02","-0.04","20.8%","86.7%","5.4%","9.5%","46.8%","43.7%","","57","92","134","90.1","19.6","10","6.3%","1.06","109.1","63","39.9%","12861"
"Corey Seager","Dodgers","52","232","15","38","41","1","7.3%","15.9%",".278",".309",".307",".358",".585",".394","151","93.2","-1.8","13.5","-2.5","1.9","1.99","-0.90","33.8%","76.0%","13.4%","8.5%","39.5%","52.0%","","52","79","153","93.2","11.9","28","15.8%","1.09","113.1","98","55.4%","13624"
"Luke Voit","Yankees","56","234","22","41","52","0","7.3%","23.1%",".333",".268",".277",".338",".610",".393","152","88.9","0.1","15.3","-3.2","1.8","1.34","-0.77","33.3%","74.5%","13.3%","16.9%","41.3%","41.9%","","101","81","129","88.9","15.2","21","13.1%","0.54","111.7","64","40.0%","14811"
"Fernando Tatis Jr.","Padres","59","257","17","50","45","11","10.5%","23.7%",".295",".306",".277",".366",".571",".392","149","95.9","1.4","17.5","3.1","2.9","1.53","-0.02","29.6%","73.1%","12.6%","7.9%","37.2%","54.9%","","49","75","162","95.9","8.7","32","19.5%","1.47","113.4","102","62.2%","19709"
"Manny Machado","Padres","60","254","16","44","47","6","10.2%","14.6%",".277",".297",".304",".370",".580",".391","148","90.2","-1.7","14.0","3.2","2.6","1.77","-1.03","27.8%","79.6%","9.5%","13.6%","47.6%","38.7%","","84","96","114","90.2","15.6","21","11.0%","0.74","115.7","83","43.5%","11493"
"Mookie Betts","Dodgers","55","246","16","47","39","10","9.8%","15.4%",".269",".289",".292",".366",".562",".390","149","90.7","3.3","18.6","3.1","3.0","2.22","0.43","24.9%","87.8%","4.9%","13.2%","42.3%","44.5%","","81","85","131","90.7","18.5","14","7.7%","2.46","108.5","79","43.4%","13611"
"Paul Goldschmidt","Cardinals","58","231","6","31","21","1","16.0%","18.6%",".162",".364",".304",".417",".466",".387","146","89.2","1.1","14.6","-2.9","2.1","1.27","0.04","25.3%","79.5%","8.3%","14.8%","57.0%","28.2%","","91","114","83","89.2","11.6","16","10.7%","1.19","111.3","61","40.7%","9218"
"Brandon Nimmo","Mets","55","225","8","33","18","1","14.7%","19.1%",".204",".326",".280",".404",".484",".387","148","87.2","0.0","13.8","-4.0","1.5","1.51","-0.18","21.3%","78.9%","8.7%","21.0%","57.3%","21.7%","","130","115","64","87.2","7.6","11","7.7%","1.24","106.9","46","32.2%","12927"
"Brandon Lowe","Rays","56","224","14","36","37","3","11.2%","25.9%",".285",".309",".269",".362",".554",".385","150","89.8","2.9","16.7","1.4","2.3","1.49","0.84","26.8%","67.1%","15.4%","13.9%","43.1%","43.1%","","83","85","132","89.8","18.1","24","17.5%","2.48","111.4","59","43.1%","18882"
"Teoscar Hernandez","Blue Jays","50","207","16","33","34","6","6.8%","30.4%",".289",".348",".289",".340",".579",".384","146","93.3","1.0","12.8","-1.6","1.6","0.71","-0.25","34.3%","66.2%","15.7%","11.6%","39.5%","48.8%","","69","78","150","93.3","15.3","23","17.8%","0.49","115.9","68","52.7%","13066"
"George Springer","Astros","51","222","14","37","32","1","10.8%","17.1%",".275",".259",".265",".359",".540",".379","146","88.7","1.3","13.9","-2.2","1.9","0.82","0.46","27.5%","76.7%","11.1%","20.4%","43.4%","36.2%","","122","86","111","88.7","18.4","19","12.3%","1.35","115.0","65","41.9%","12856"
"Tim Anderson","White Sox","49","221","10","45","21","5","4.5%","22.6%",".207",".383",".322",".357",".529",".376","143","87.2","0.8","12.5","-0.1","2.2","0.86","-0.99","43.6%","71.2%","15.9%","15.1%","52.8%","32.1%","","90","104","99","87.2","6.7","16","10.1%","-0.12","108.8","57","35.8%","15172"
"Jeimer Candelario","Tigers","52","206","7","30","29","1","9.7%","23.8%",".205",".372",".297",".369",".503",".373","137","90.2","0.8","10.2","-3.5","1.6","0.42","0.23","29.9%","74.6%","11.4%","16.9%","47.1%","36.0%","","101","93","111","90.2","13.3","14","10.3%","0.70","110.8","64","47.1%","13621"
"Eloy Jimenez","White Sox","55","226","14","26","41","0","5.3%","24.8%",".263",".340",".296",".332",".559",".373","141","92.4","0.5","11.7","-4.7","1.7","1.54","-0.85","41.1%","72.8%","14.8%","12.0%","43.7%","44.3%","","72","86","136","92.4","5.7","26","16.5%","0.63","113.6","88","55.7%","17484"
"Lourdes Gurriel Jr.","Blue Jays","57","224","11","28","33","3","6.3%","21.4%",".226",".351",".308",".348",".534",".372","138","90.8","-2.2","8.2","-1.4","1.2","0.75","0.11","35.8%","75.6%","12.5%","11.1%","58.6%","30.2%","","66","116","93","90.8","10.5","19","11.7%","0.89","109.5","80","49.4%","19238"
"Trevor Story","Rockies","59","259","11","41","28","15","9.3%","24.3%",".230",".354",".289",".355",".519",".370","117","89.9","4.0","9.6","6.3","2.5","1.00","-0.59","30.6%","76.8%","10.6%","14.5%","44.8%","40.7%","","90","90","120","89.9","20.9","15","8.7%","0.44","109.0","71","41.3%","12564"
"Ian Happ","Cubs","57","231","12","27","28","1","13.0%","27.3%",".247",".317",".258",".361",".505",".369","131","91.1","0.2","9.4","-0.3","1.9","0.70","0.03","27.0%","66.5%","14.6%","12.5%","51.5%","36.0%","","77","103","106","91.1","9.0","14","10.3%","0.71","109.1","65","47.8%","17919"
"Xander Bogaerts","Red Sox","56","225","11","36","28","8","9.3%","18.2%",".202",".329",".300",".364",".502",".368","130","89.0","2.7","11.1","2.4","1.9","0.57","-0.42","27.8%","78.9%","9.2%","16.6%","47.2%","36.2%","","99","93","111","89.0","8.7","14","8.6%","0.15","112.5","60","36.8%","12161"
"A.J. Pollock","Dodgers","55","210","16","30","34","2","5.7%","21.4%",".291",".277",".276",".314",".566",".364","132","89.6","-2.0","6.6","-3.9","1.0","0.91","0.69","33.7%","78.7%","10.2%","11.1%","47.1%","41.8%","","69","94","123","89.6","13.0","16","10.5%","1.49","110.0","66","43.1%","9256"
"Chris Taylor","Dodgers","56","214","8","30","32","3","12.1%","25.7%",".205",".344",".270",".366",".476",".364","131","88.0","-0.9","7.8","-0.4","1.5","1.41","0.60","21.3%","71.4%","12.7%","14.5%","48.9%","36.6%","","90","98","108","88.0","9.1","15","11.5%","1.87","109.6","59","45.0%","13757"
"Kole Calhoun","Diamondbacks","54","228","16","35","40","1","12.3%","21.9%",".300",".211",".226",".338",".526",".362","126","89.4","0.5","8.1","2.6","1.8","1.21","-0.22","27.5%","68.2%","14.9%","12.5%","47.2%","40.3%","","77","95","119","89.4","17.1","17","11.8%","0.96","109.0","55","38.2%","11200"
"Michael Brantley","Astros","46","187","5","24","22","2","9.1%","15.0%",".176",".336",".300",".364",".476",".362","134","88.7","-1.6","6.3","0.7","1.3","0.81","1.07","25.2%","86.1%","5.5%","9.9%","52.8%","37.3%","","59","104","115","88.7","10.2","7","4.9%","1.99","105.3","52","36.6%","4106"
"Alex Verdugo","Red Sox","53","221","6","36","15","4","7.7%","20.4%",".169",".371",".308",".367",".478",".362","126","87.0","1.1","8.2","2.3","1.6","0.32","0.22","29.0%","83.5%","7.0%","14.6%","52.9%","32.5%","","87","104","100","87.0","5.9","10","6.4%","0.49","109.5","54","34.4%","17027"
"J.T. Realmuto","Phillies","47","195","11","33","32","4","8.2%","24.6%",".225",".307",".266",".349",".491",".361","125","90.9","2.0","8.2","4.2","1.7","0.29","-0.56","28.1%","73.2%","12.1%","16.8%","45.6%","37.6%","2.2","104","91","111","90.9","11.8","17","13.6%","-0.30","112.4","53","42.4%","11739"
"Jeff McNeil","Mets","52","209","4","19","23","0","9.6%","11.5%",".142",".335",".311",".383",".454",".360","130","86.6","-2.5","5.6","0.9","1.2","0.59","-0.23","38.5%","83.8%","9.2%","14.8%","54.3%","30.9%","","92","109","91","86.6","11.5","4","2.5%","0.38","106.2","43","26.5%","15362"
"Donovan Solano","Giants","54","203","3","22","29","0","4.9%","19.2%",".137",".396",".326",".365",".463",".357","127","88.5","0.4","7.4","-5.4","0.9","0.62","0.51","38.7%","80.4%","10.2%","16.4%","49.3%","34.2%","","102","99","101","88.5","15.5","7","4.6%","1.06","108.1","53","34.9%","8623"
"Jake Cronenworth","Padres","54","192","4","26","20","3","9.4%","15.6%",".192",".324",".285",".354",".477",".356","125","89.8","-1.0","5.1","2.7","1.4","0.53","-0.52","22.4%","85.3%","5.8%","18.2%","45.5%","36.4%","","112","91","107","89.8","10.6","15","10.5%","0.01","110.1","61","42.7%","18036"
"Cavan Biggio","Blue Jays","59","265","8","41","28","6","15.5%","23.0%",".182",".311",".250",".375",".432",".355","127","87.4","0.8","9.4","-1.5","1.5","1.55","-0.05","16.3%","78.3%","7.8%","13.2%","55.3%","31.4%","","79","109","97","87.4","16.7","8","5.0%","1.61","103.6","49","30.6%","19252"
"Tommy La Stella","- - -","55","228","5","31","25","1","11.8%","5.3%",".168",".276",".281",".370",".449",".355","129","88.0","-2.2","6.0","-2.0","1.2","0.63","-0.03","25.2%","90.2%","3.7%","13.9%","56.7%","29.4%","","83","112","90","88.0","17.1","9","4.8%","0.59","108.8","53","28.3%","12371"
"Jackie Bradley Jr.","Red Sox","55","217","7","32","22","5","10.6%","22.1%",".168",".343",".283",".364",".450",".352","119","88.3","1.3","6.5","2.6","1.4","0.48","-0.68","27.3%","76.4%","10.6%","18.8%","54.2%","27.1%","","112","107","83","88.3","4.4","11","7.6%","-0.17","112.4","52","36.1%","12984"
"Mark Canha","Athletics","59","243","5","32","33","4","15.2%","22.2%",".162",".307",".246",".387",".408",".351","127","89.7","2.2","10.2","-1.0","1.7","0.83","0.81","21.6%","79.0%","8.0%","14.1%","48.6%","37.3%","","84","96","115","89.7","19.4","11","7.7%","1.60","108.9","55","38.7%","11445"
"Aaron Hicks","Yankees","54","211","6","28","21","4","19.4%","18.0%",".189",".256",".225",".379",".414",".351","123","88.2","2.6","8.7","-3.3","1.1","0.90","0.07","19.9%","72.9%","10.7%","16.8%","52.7%","30.5%","","100","104","94","88.2","11.1","9","6.9%","0.88","109.5","50","38.2%","5297"
"Robbie Grossman","Athletics","51","192","8","23","23","8","10.9%","19.8%",".241",".267",".241",".344",".482",".351","126","89.0","2.0","8.3","-2.0","1.3","0.64","-0.93","25.9%","83.1%","7.3%","13.3%","59.4%","27.3%","","79","117","84","89.0","15.2","7","5.5%","-0.29","108.1","48","37.5%","5254"
"David Fletcher","Angels","49","230","3","31","18","2","8.7%","10.9%",".106",".348",".319",".376",".425",".350","125","84.7","-0.7","6.4","1.9","1.6","0.76","-0.16","27.0%","92.0%","3.0%","17.8%","59.5%","22.7%","","106","117","70","84.7","4.1","1","0.5%","0.60","107.0","33","17.8%","17992"
"Trent Grisham","Padres","59","252","10","42","26","10","12.3%","25.4%",".205",".310",".251",".352",".456",".349","121","88.3","-0.2","6.4","8.3","2.3","0.57","0.58","20.4%","78.8%","8.0%","17.0%","50.3%","32.7%","","105","101","96","88.3","13.5","17","11.0%","1.06","111.9","64","41.6%","18564"
"Kyle Lewis","Mariners","58","242","11","37","28","5","14.0%","29.3%",".175",".341",".262",".364",".437",".349","126","88.3","1.7","9.5","-1.0","1.7","0.58","-0.18","26.5%","65.6%","14.9%","18.2%","48.9%","32.8%","","109","97","101","88.3","11.1","16","11.7%","0.36","110.9","47","34.3%","19508"
